word,reading,meaning_en,pos,common
石頭,いしあたま,obstinate person,n,True
天狗,てんぐ,bragging,n,True
兎角,とかく,things that do not exist,n,True
船出,ふなで,starting anew,"n,vs",True
綱渡り,つなわたり,treading a tightrope,"n,vs,vi",True
草の根,くさのね,grassroots (e.g. of a political party),"exp,n",True
土壇場,どたんば,last moment,n,True
二枚舌,にまいじた,double-dealing,"n,adj-no",True
赤信号,あかしんごう,red light,n,True
雲泥の差,うんでいのさ,wide difference,"exp,n",True
犬猿の仲,けんえんのなか,like cats and dogs,"exp,n",True
後の祭り,あとのまつり,a day after the fair,"exp,n",True
バトンタッチ,バトン・タッチ,passing the baton,"n,vs",True
逆鱗,げきりん,one's superior's anger,n,False
虎口,ここう,tiger's den,n,False
小虎,ことら,light drinker,n,False
大虎,おおとら,drinker,n,False
兎耳,うさぎみみ,long ears,n,False
両虎,りょうこ,two equal rivals,n,False
荊棘,けいきょく,obstacle,n,False
尻重,しりおも,slowcoach,"n,adj-na",False
蛇蝎,だかつ,something detestable,n,False
虎狼,ころう,cruel and greedy brute,n,False
犬猿,けんえん,cats and dogs (as an example of a bad relationship),n,False
安牌,あんパイ,no-risk choice,n,False
犬猫,いぬねこ,something trivial,n,False
羝羊,ていよう,someone who lives their life by instinct,n,False
磊塊,らいかい,discontent,n,False
楽髪,らくがみ,rapid growth of hair when one is relaxed,n,False
楽毛,らくげ,rapid growth of hair when one is relaxed,n,False
刻舟,こくしゅう,not getting with the times,"exp,n",False
横串,よこぐし,"coordination across separate sectors (of an organization, division, etc.)",n,False
暁鐘,ぎょうしょう,something that ushers in a new age,exp,False
嘘八百,うそはっぴゃく,pack of lies,n,False
瓜二つ,うりふたつ,exactly alike (in appearance),adj-no,False
猿芝居,さるしばい,bad acting,n,False
縁の下,えんのした,out of sight,"adj-no,n",False
遠吠え,とおぼえ,backbiting,"n,vs,vi",False
奥の手,おくのて,ace up one's sleeve,"exp,n",False
火の車,ひのくるま,desperate financial situation,"exp,n",False
火の手,ひのて,attack,"exp,n",False
火遊び,ひあそび,doing something dangerous,"n,vs,vi",False
玉の輿,たまのこし,money and social status gained by marrying a rich and powerful man,"exp,n",False
虎の巻,とらのまき,book of (trade) secrets,"exp,n",False
雀の涙,すずめのなみだ,drop in the bucket,"exp,n",False
青信号,あおしんごう,green light,n,False
青天井,あおてんじょう,skyrocketing (of prices),n,False
蝉時雨,せみしぐれ,outburst of cicadas singing,n,False
巣立つ,すだつ,to go out into the world,"v5t,vi",False
虫の息,むしのいき,dying breath,"exp,n",False
天狗話,てんぐばなし,boastful story,n,False
兎の毛,うのけ,slight amount,"exp,n",False
乳臭い,ちちくさい,green,adj-i,False
蜂の巣,はちのす,something full of holes,"exp,n",False
玉に瑕,たまにきず,fly in the ointment,"exp,n",False
逃げ腰,にげごし,preparing to flee,n,False
夢物語,ゆめものがたり,fantastic story,n,False
走馬灯,そうまとう,ever-changing scene (e.g. life flashing before one's eyes),n,False
百人力,ひゃくにんりき,tremendous strength,n,False
畳水練,たたみすいれん,useless book learning,n,False
釘付け,くぎづけ,being stationary,n,False
左団扇,ひだりうちわ,(living with) ease and comfort,n,False
関の山,せきのやま,the most one can do,"exp,n",False
息の根,いきのね,life,"exp,n",False
風の子,かぜのこ,"(lively, tireless) children","exp,n",False
猫の目,ねこのめ,(something) fickle,"exp,n",False
猫の額,ねこのひたい,tiny area,"exp,n",False
虎の子,とらのこ,one's treasure,"exp,n",False
畑水練,はたけすいれん,useless book learning,n,False
蹴破る,けやぶる,to smash through (e.g. the enemy),"v5r,vt",False
手の者,てのもの,one's subordinate,"exp,n",False
夜の帳,よるのとばり,veil of darkness,"exp,n",False
飴と鞭,あめとむち,carrot and stick,"exp,n",False
茨の道,いばらのみち,thorny path,"exp,n",False
水の泡,みずのあわ,(coming to) nothing,"exp,n",False
安全牌,あんぜんパイ,no-risk choice,n,False
線引き,せんびき,drawing a line (e.g. between what's acceptable and unacceptable),"n,vs,vt,vi",False
水と油,みずとあぶら,two incompatible things (or people),"exp,n",False
犬と猿,いぬとさる,cats and dogs (as an example of a bad relationship),"exp,n",False
雪と墨,ゆきとすみ,diametric opposites,exp,False
籠の鳥,かごのとり,"person whose freedom has been restricted (esp. a prostitute, mistress, concubine, etc.)","exp,n",False
風に柳,かぜにやなぎ,without making waves,"exp,adv-to",False
爪の垢,つめのあか,"shred (of decency, etc.)","exp,n",False
ぎんた,,in case of,exp,False
桜咲く,さくらさく,to pass an exam,"exp,v5k",False
桜散る,さくらちる,to fail an exam,"exp,v5r",False
最後屁,さいごべ,final desperate tactic,n,False
神の子,かみのこ,prodigy,"exp,n",False
膳立て,ぜんだて,setting up,"n,vs,vi",False
竹に雀,たけにすずめ,match made in heaven,"exp,n",False
土足で,どそくで,rudely,exp,False
糠に釘,ぬかにくぎ,having no effect,"exp,n",False
闇の女,やみのおんな,street prostitute,"exp,n",False
耳タコ,みみたこ,having been told something so often that one is fed up with it,exp,False
腰だめ,こしだめ,starting something without sufficient preparation,n,False
虎に翼,とらにつばさ,making the strong even stronger,exp,False
天の声,てんのこえ,off the record instructions,"exp,n",False
飯の種,めしのたね,means of making a living,"exp,n",False
年食う,としくう,to grow older (than expected),"exp,v5u",False
米百俵,こめひゃっぴょう,kome hyappyō,exp,False
火の海,ひのうみ,sea of fire,"exp,n",False
油に水,あぶらにみず,incompatible,exp,False
風の噂,かぜのうわさ,hearsay,"exp,n",False
梅に鶯,うめにうぐいす,match made in heaven,"exp,n",False
火に油,ひにあぶら,(adding) fuel to the fire,"exp,n",False
大天狗,だいてんぐ,big braggart,n,False
小天狗,こてんぐ,promising young martial arts practitioner,n,False
蔵入り,くらいり,"being shelved (of a movie, project, etc.)","n,vs,vi",False
厚い壁,あついかべ,hard-to-overcome obstacle,"exp,n",False
吾が仏,あがほとけ,my dear,"exp,n,pn",False
我が仏,わがほとけ,my dear,"exp,n,pn",False
黄信号,きしんごう,warning sign,n,False
光と影,ひかりとかげ,rise and fall,"exp,n",False
金の卵,きんのたまご,golden child,"exp,n",False
命の水,いのちのみず,"distilled liquor (brandy, whisky, etc.)","exp,n",False
心の壁,こころのかべ,emotional wall,"exp,n",False
芋洗い,いもあらい,being very crowded,n,False
夏の虫,なつのむし,(like a) moth flying into the flame,exp,False
一本やり,いっぽんやり,"sticking to one thing (method, principle, objective, etc.)","n,n-suf",False
碁盤の目,ごばんのめ,grid layout (e.g. of streets),"exp,n",False
三顧の礼,さんこのれい,showing (someone) special courtesy (to persuade them to take a post),"exp,n",False
姿を消す,すがたをけす,to disappear,"exp,v5s",False
歯が浮く,はがうく,to have one's teeth set on edge,"exp,v5k",False
手を切る,てをきる,to cut one's connections (with),"exp,v5r",False
手を抜く,てをぬく,to cut corners,"exp,v5k",False
首を切る,くびをきる,to fire from a job,"exp,v5r",False
十日の菊,とおかのきく,something that comes too late and is useless,"exp,n",False
掌中の珠,しょうちゅうのたま,apple of one's eye,"exp,n",False
水を差す,みずをさす,to hinder,"exp,v5s",False
足が出る,あしがでる,to exceed the budget,"exp,v1",False
足がつく,あしがつく,to be traced (of a criminal),"exp,v5k",False
他山の石,たざんのいし,lesson learned from someone's else mistake,n,False
地が出る,じがでる,to reveal one's true colors (colours),"exp,v1",False
竹馬の友,ちくばのとも,childhood friend,"exp,n",False
張子の虎,はりこのとら,paper tiger,"exp,n",False
峠を越す,とうげをこす,to pass the peak (of something),"exp,v5s",False
豚に真珠,ぶたにしんじゅ,casting pearls before swine,exp,False
呑舟の魚,どんしゅうのうお,great man,"exp,n",False
二番煎じ,にばんせんじ,rehash,n,False
猫に小判,ねこにこばん,casting pearls before swine,exp,False
百薬の長,ひゃくやくのちょう,the best medicine (i.e. sake),"exp,n",False
泡を食う,あわをくう,to be flurried,"exp,v5u",False
油を絞る,あぶらをしぼる,to chew out,"exp,v5r",False
油を売る,あぶらをうる,to loaf around (on the job),"exp,v5r",False
両手に花,りょうてにはな,two blessings at once,exp,False
茹でタコ,ゆでタコ,person with red flushed skin,n,False
すし詰め,すしづめ,jam-packed,"adj-no,n",False
頭が痛い,あたまがいたい,racking one's brains,"exp,adj-i",False
棒に振る,ぼうにふる,to waste,"exp,v5r",False
